0010165,0011924,0013553,0013567,0013587,0015438,0016663,0017012,0017354,0017461,0018127,0020382,0020479,0022362,0022541,0022646,0024042,0025464,0025668,0025999,0026310,0026938,0027292,0027581,0029118,0030001,0030744,0030870,0031346,0032179,0033045,0033058,0033710,0033815,0033967,0034043,0034187,0034233,0034546,0034627,0034738,0035016,0035283,0035467,0036507,0037677,0037885,0037949,0037970,0038154
0039580,0040081,0040097,0040810,0041230,0041539,0041543,0041618,0042051,0042113,0042295,0042335,0042360,0043093,0043646,0044343,0045740,0046219,0046528,0046849,0048603,0048724,0049763,0049872,0052076,0054320,0054544,0054700,0055156,0055493,0055507,0055535,0056491,0056505,0058511,0058642,0058689,0059089,0059204,0059238,0059428,0059451,0059501,0059519,0062297,0062455,0062521,0062539,0062554,0062891
0063560,0064778,0064917,0064927,0064937,0064962,0065153,0065258,0065280,0065324,0065338,0066039,0066070,0066094,0066373,0066544,0066854,0066902,0066963,0066973,0066977,0066987,0066999,0067003,0067098,0067229,0067241,0067282,0067379,0067391,0067401,0067427,0067435,0067443,0067468,0067571,0067601,0067639,0067641,0067700,0067702,0067777,0068243,0068512,0069361,0069379,0069524,0072157,0072518,0072522
0072571,0072585,0072656,0072664,0072738,0073785,0073795,0074247,0074916,0075048,0075079,0076051,0077103,0077194,0077362,0078018,0078527,0079095,0079103,0079584,0079634,0081505,0081638,0081786,0082875,0083727,0085003,0086314,0086686,0086843,0090437,0090443,0090811,0091155,0091292,0091447,0091522,0091763,0092310,0092981,0093953,0094904,0095721,0097008,0097099,0097253,0097475,0097549,0098020,0098026
0099048,0099103,0099440,0099523,0099895,0099956,0100628,0100677,0100711,0100743,0100750,0100768,0100933,0100990,0101337,0101675,0101758,0101766,0102004,0102194,0102822,0104059,0104190,0104455,0104497,0104505,0104521,0105985,0105991,0106007,0106033,0107480,0107744,0108110,0108146,0108181,0108771,0108789,0108807,0108910,0108936,0109025,0109419,0109425,0109445,0109452,0109843,0109868,0109884,0109975
0111112,0111526,0111633,0111666,0111748,0111777,0112395,0113672,0114413,0114421,0115370,0115438,0115905,0117838,0118366,0118394,0118428,0120899,0120972,0121352,0122352,0122368,0123034,0123406,0124004,0127043,0128298,0128306,0128831,0129280,0129365,0129393,0129658,0130452,0130536,0130989,0131029,0131496,0133377,0133785,0134478,0134753,0135632,0136663,0136935,0136943,0136982,0137489,0137794,0137861
0138636,0138832,0138834,0138877,0139610,0140582,0140871,0141168,0141176,0141184,0141192,0141194,0141200,0141980,0144709,0144834,0145300,0147033,0147235,0149567,0151672,0151811,0152512,0152884,0154755,0154989,0155010,0155234,0156392,0156604,0156612,0156927,0156976,0161382,0162008,0163323,0164022,0164230,0164376,0165900,0166041,0166579,0167514,0167565,0168514,0169397,0169411,0170890,0172678,0173106
0174278,0175796,0175834,0177321,0177347,0177735,0177792,0177879,0177913,0178479,0178729,0178739,0179844,0179867,0180844,0181493,0181515,0183081,0183109,0183315,0183356,0183402,0185266,0185278,0187668,0187839,0188148,0188183,0188371,0189318,0189874,0189918,0190025,0190132,0191397,0191504,0191516,0191567,0191765,0192247,0194532,0196826,0199010,0202459,0202574,0203226,0203261,0204018,0204042,0205353
0205419,0206153,0206278,0206656,0208551,0208845,0210417,0210447,0212193,0215426,0215824,0216861,0217091,0217428,0218216,0219503,0220016,0220477,0220875,0221099,0222669,0222877,0223061,0223075,0223352,0225247,0225254,0225799,0227437,0227510,0227783,0228510,0228650,0228987,0229355,0230813,0231393,0231983,0231999,0232215,0232553,0234200,0234294,0234419,0234534,0235305,0236257,0236497,0237693,0237719
0237735,0237768,0238006,0238014,0238030,0238097,0239873,0239941,0239956,0240473,0240707,0242032,0242267,0242754,0242774,0243253,0244040,0244772,0245375,0245383,0245437,0245664,0246464,0247478,0248306,0248593,0250031,0250385,0250391,0250401,0250425,0250706,0250714,0250732,0250785,0251256,0251522,0251819,0252199,0252795,0252813,0254668,0254858,0255903,0255941,0256009,0256069,0258204,0259253,0259446
0259451,0259723,0260875,0263717,0263737,0263750,0263782,0263818,0264006,0264046,0264053,0264075,0264083,0264164,0264345,0264822,0265658,0265708,0266700,0266825,0266991,0267732,0267849,0268157,0268997,0269045,0269425,0269557,0271124,0272411,0273955,0275612,0278194,0278552,0279725,0279735,0279747,0279754,0281311,0281511,0281531,0281549,0282166,0283204,0284838,0286211,0289090,0290159,0294136,0294496
0297515,0298681,0302143,0302909,0302911,0302978,0302998,0303315,0303541,0303899,0304259,0304354,0306134,0307670,0307817,0308062,0308744,0310658,0311928,0312930,0313219,0315335,0316192,0316713,0316853,0318014,0319410,0319655,0321186,0321192,0321646,0323376,0323824,0324703,0326692,0326872,0326944,0326951,0327704,0328492,0328765,0339764,0339784,0340774,0340830,0341309,0341390,0341554,0341592,0341715
0342081,0342582,0343808,0344004,0344301,0344309,0344319,0345306,0345324,0345767,0345870,0345886,0350330,0351551,0351829,0353252,0355552,0356014,0356024,0356087,0356107,0356539,0356677,0357149,0357313,0357345,0357758,0358386,0358608,0358634,0358642,0359598,0361131,0361386,0362024,0362362,0363709,0363721,0363905,0363939,0363972,0364016,0365809,0366510,0368092,0368635,0368845,0369365,0369563,0372120
